Model,MSRP,Bore,Displacement,Clearance,EngineStrokes,Wheelbase
HondaCR85R,2999,48,84,12.2,2,49.1
HondaCR85RB,3099,48,84,13.9,2,49.1
HondaCRF100F,2249,53,99,10,4,49.2
HondaCRF150F,2999,64,157,10,4,52.2
HondaCRF230F,3499,66,223,11.7,4,54.1
HondaCRF250R,5899,78,249,14.2,4,58.2
HondaCRF250X,6199,78,249,14.2,4,58.6
HondaCRF450R,6699,96,449,13.4,4,58.7
HondaCRF450X,6999,96,449,13.7,4,58.2
HondaCRF50F,1249,39,49,5.8,4,36
HondaCRF70F,1549,47,72,7,4,42
HondaCRF80F,1949,48,80,8.6,4,47.6
HondaXR250R,4699,73,249,12.4,4,55.1
HondaXR400R,5299,85,397,12.2,4,56.1
KawasakiKDX200,4099,66,198,13.4,2,56.5
KawasakiKDX220R,4499,69,216,13.4,2,56.5
KawasakiKDX50,1099,41,49,4.5,2,33.9
KawasakiKLR250,4099,74,249,10.6,4,55.7
KawasakiKLX110,1649,53,111,7.5,4,41.9
KawasakiKLX125,2299,57,124,10.2,4,49
KawasakiKLX125L,2499,57,124,11.4,4,50
KawasakiKLX300R,4799,78,292,12.6,4,56.5
KawasakiKX100,3349,52,99,15,2,50.8
KawasakiKX125,5099,54,124,13.4,2,57.9
KawasakiKX250,5999,66,294,13.4,2,58.3
KawasakiKX250F,5599,77,249,13.4,4,58.1
KawasakiKX65,2799,45,65,12,2,44.1
KawasakiKX85,2999,48,84,13.4,2,49.4
KTM125SX,5298,54,125,15.35,2,57.91
KTM200EXC,5848,64,193,15.35,2,58.1
KTM250EXC,6398,66,249,15.15,2,58.1
KTM250SX,6248,66,249,15.1,2,58.1
KTM300EXC,6498,72,293,15.15,2,58.1
KTM300MXC,6398,72,293,15.15,2,58.3
KTM400EXC,7198,89,398,15.15,4,58.3
KTM450EXC,7289,89,447,15.15,4,58.3
KTM450MXC,7048,89,448,15.15,4,58.3
KTM450SX,6498,95,449,15,4,58.3
KTM50MINI,1598,40,49,7.48,2,35.63
KTM50SENIOR,2148,40,49,10.04,2,40.55
KTM50SXPROJUNIOR,2998,40,49,8.66,2,35.82
KTM50SXPROSENIOR,3298,40,49,10.04,2,40.55
KTM525EXC,7548,95,510,15.15,4,58.3
KTM525MXC,7348,95,510,15.15,4,58.3
KTM525SX,6798,95,510,15,4,58.3
KTM65SX,3498,41,65,11.41,2,44.76
KTM85SX,3598,49,86,16.33,2,50.31
SuzukiDR200SE,3899,66,199,10.2,4,55.3
SuzukiDR200SE,3899,66,199,10.2,4,55.3
SuzukiDRZ110,1699,53,111,7.5,4,41.9
SuzukiDRZ125,2299,57,124,10.2,4,49
SuzukiDRZ125L,2499,57,124,11.4,4,50
SuzukiDRZ250,4699,73,249,11.8,4,57.3
SuzukiDRZ400E,5499,90,398,12.8,4,58.1
SuzukiDRZ400S,5499,90,398,11.8,4,58.5
SuzukiDRZ400S,5499,90,398,11.8,4,58.5
SuzukiJR50,1099,41,49,4.5,2,33.9
SuzukiRM125,5099,54,125,13.8,2,57.1
SuzukiRM250,5999,66,249,13.8,2,57.9
SuzukiRM65,2849,44,65,12,2,44.1
SuzukiRM85,3099,48,85,12.8,2,48.8
SuzukiRM85L,3199,48,85,14,2,50.4
SuzukiRMZ250,5599,77,249,13.4,4,58.1
SuzukiRMZ450,6499,96,449,13.8,4,58.5
YamahaPW50,1079,40,49,4.1,2,33.7
YamahaPW80,1249,47,79,7.3,2,41
YamahaTTR125E,2399,54,124,10.4,4,49
YamahaTTR125L,2499,54,124,11.6,4,50
YamahaTTR230,3299,70,223,12,4,54.1
YamahaTTR250,4399,73,249,12,4,55.3
YamahaTTR90E,1699,47,89,6.3,4,40.9
YamahaTW200,3699,67,196,10.4,4,52.2
YamahaWR250F,5899,77,249,14.57,4,58.1
YamahaWR450F,6599,95,449,14.57,4,58.4
YamahaYZ125,5299,54,124,15.8,4,58.3
YamahaYZ250,6099,66,249,15.6,2,58
YamahaYZ250F,5699,77,249,15,4,58.5
YamahaYZ450F,6399,95,449,14.6,4,49.5
YamahaYZ85,3099,47,85,13.8,2,58
HusabergFC450,8998,100,449,14.9,4,58
HusabergFC550,8998,100,549,14.9,4,58
HusqvarnaTC250,5999,76,249,13.4,4,58
HusqvarnaTC510,6899,97,501,13.4,4,58
HusqvarnaTC450,6499,97,449,13.4,4,58
HusqvarnaTE250,6299,76,249,13.4,4,57
HusqvarnaTE450,6889,97,449,13.4,4,57
HusqvarnaTE510,7199,97,501,13.4,4,58.86
HusqvarnaSM510R,6799,97,501,10.63,4,51.97
HusqvarnaSM450R,7299,97,449,10.63,4,51.97
GasGasPRO125,5199,54,124.8,13.6,2,51.97
GasGasPRO200,5299,64,175.3,13.6,2,51.97
GasGasPRO280,6249,76,272.2,13.6,2,51.97
GasGasPRO280,6249,76,272.2,13.6,2,58.5
