"Quarter","Revenue.Billions","Time"
"2006 Q3",4.837,1
"2006 Q4",7.115,2
"2007 Q1",5.264,3
"2007 Q2",5.41,4
"2007 Q3",6.789,5
"2007 Q4",9.608,6
"2008 Q1",7.512,7
"2008 Q2",7.464,8
"2008 Q3",12.91,9
"2008 Q4",11.88,10
"2009 Q1",9.084,11
"2009 Q2",9.734,12
"2009 Q3",12.21,13
"2009 Q4",15.68,14
"2010 Q1",13.5,15
"2010 Q2",15.7,16
"2010 Q3",20.34,17
"2010 Q4",26.74,18
"2011 Q1",24.67,19
"2011 Q2",28.57,20
"2011 Q3",28.27,21
"2011 Q4",46.33,22
"2012 Q1",39.19,23
"2012 Q2",35.02,24
"2012 Q3",35.97,25
"2012 Q4",54.51,26
"2013 Q1",43.6,27
"2013 Q2",35.32,28
"2013 Q3",37.47,29
"2013 Q4",57.59,30
"2014 Q1",45.65,31
"2014 Q2",37.43,32
"2014 Q3",42.12,33
"2014 Q4",74.6,34
"2015 Q1",58.01,35
"2015 Q2",49.6,36
"2015 Q3",51.5,37
"2015 Q4",75.87,38
"2016 Q1",50.56,39
"2016 Q2",42.36,40
"2016 Q3",46.85,41
"2016 Q4",78.35,42
"2017 Q1",52.9,43
"2017 Q2",45.41,44
"2017 Q3",52.58,45
"2017 Q4",88.29,46
"2018 Q1",61.14,47
"2018 Q2",53.26,48
"2018 Q3",62.9,49
"2018 Q4",84.31,50
